trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.005, 'e': 0.5352614285189903}",25,15,-2.641091055701483,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
127,False,"{'a': 0.005, 'e': 0.5325918010068972}",25,0,-131.6196005825002,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
128,False,"{'a': 0.005, 'e': 0.5299354883175685}",30,12,-69.99756861845874,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 0}",1
129,False,"{'a': 0.005, 'e': 0.5272924240430485}",25,7,-56.459579937385996,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.005, 'e': 0.5246625421065929}",35,25,6.557433569564454,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.005, 'e': 0.522045776761016}",25,0,-35.84915730104512,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
132,False,"{'a': 0.005, 'e': 0.5194420625870482}",25,0,0.9255183409688232,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
133,False,"{'a': 0.005, 'e': 0.5168513344916992}",25,0,-62.95321697423058,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",1
134,False,"{'a': 0.005, 'e': 0.5142735277066319}",20,7,-17.61329448791001,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
135,False,"{'a': 0.005, 'e': 0.5117085777865424}",20,0,-4.7686338142178135,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.005, 'e': 0.5091564206075492}",20,11,5.005877770320726,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.005, 'e': 0.5066169923655895}",30,15,-7.170515672680827,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
138,False,"{'a': 0.005, 'e': 0.5040902295748255}",20,8,-91.04074568278031,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
139,False,"{'a': 0.005, 'e': 0.5015760690660555}",25,0,1.9420409862021066,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
140,False,"{'a': 0.005, 'e': 0.49907444798513595}",25,6,-15.93502480895692,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
141,False,"{'a': 0.005, 'e': 0.49658530379140947}",20,15,8.592705821846698,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.005, 'e': 0.4941085742561417}",20,2,-42.309737206957735,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
143,False,"{'a': 0.005, 'e': 0.4916441974609651}",30,17,-6.1837315436642815,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
